                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5787,                 3.9116,                 1.5214,                0.00125,                  0.375,                0.00108,                0.00053,                 1.8396,                 4.5522,                 2.0819,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.4132,                 4.5609,                  1.439,                0.55556,                 0.3125,                 0.3297,                0.23596,                 1.0521,                  97.82,                 1.1516,             0.00013769,             0.00013769,             0.00013769
                      3,                 1.1683,                 6.4481,                 1.2267,                0.17789,                   0.25,                0.12248,                0.07998,                 1.0853,                 4.2959,                 1.1405,             0.00021274,             0.00021274,             0.00021274
                      4,                  1.093,                  2.856,                 1.1584,                0.00774,                 0.9375,                0.00857,                0.00523,                    nan,                    nan,                    nan,             0.00028515,             0.00028515,             0.00028515
                      5,                  1.119,                 2.1291,                 1.1858,                0.00851,                 0.9375,                0.00952,                0.00476,                    nan,                    nan,                    nan,             0.00035492,             0.00035492,             0.00035492
                      6,                 1.1466,                 1.6015,                 1.2261,                0.04028,                 0.9375,                 0.1118,                0.04558,                    nan,                    nan,                    nan,             0.00042205,             0.00042205,             0.00042205
                      7,                  1.205,                 1.3643,                 1.1916,                0.58824,                  0.625,                 0.4587,                0.30694,                0.96209,                 15.394,                 1.3859,             0.00048654,             0.00048654,             0.00048654
                      8,                 1.1629,                 1.2299,                 1.2109,                0.00127,                 0.3125,                0.00079,                0.00039,                 2.6201,                    inf,                 3.9237,             0.00054839,             0.00054839,             0.00054839
                      9,                  1.017,                 1.0947,                 1.1396,                0.00184,                    0.5,                0.00504,                0.00146,                    nan,                    nan,                    nan,              0.0006076,              0.0006076,              0.0006076
                     10,                 1.1043,                 1.1824,                 1.1892,                0.00226,                 0.5625,                0.00207,                0.00055,                    nan,                    nan,                    nan,             0.00066417,             0.00066417,             0.00066417
                     11,                 1.2185,                 1.3701,                  1.242,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,              0.0007181,              0.0007181,              0.0007181
                     12,                 1.1827,                 1.1895,                 1.2342,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00076939,             0.00076939,             0.00076939
                     13,                 1.1558,                 1.0844,                  1.205,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00081804,             0.00081804,             0.00081804
                     14,                 1.1841,                 1.1962,                 1.2339,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00086405,             0.00086405,             0.00086405
                     15,                 1.1151,                 1.0026,                 1.1549,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00090742,             0.00090742,             0.00090742
                     16,                 1.0718,                0.85378,                 1.1834,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00094815,             0.00094815,             0.00094815
                     17,                 1.2595,                0.91222,                 1.2536,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,             0.00098624,             0.00098624,             0.00098624
                     18,                 1.4134,                  1.035,                 1.2877,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,              0.0010217,              0.0010217,              0.0010217
                     19,                 1.2232,                 1.0292,                 1.2091,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,              0.0010545,              0.0010545,              0.0010545
                     20,                 1.0808,                0.95371,                  1.132,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,              0.0010847,              0.0010847,              0.0010847
                     21,                 1.1446,                0.99515,                 1.2087,                0.00211,                  0.625,                0.00196,                0.00049,                    nan,                    nan,                    nan,              0.0011122,              0.0011122,              0.0011122
                     22,                 1.0801,                0.91585,                 1.1361,                0.00119,                 0.0625,                0.00087,                  9e-05,                    nan,                    nan,                    nan,              0.0011371,              0.0011371,              0.0011371
                     23,                0.99772,                0.85655,                 1.1828,                0.00119,                 0.0625,                0.00087,                  9e-05,                    nan,                    nan,                    nan,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.0635,                0.81749,                 1.1595,                0.00758,                 0.0625,                0.00498,                0.00249,                    nan,                    nan,                    nan,               0.001179,               0.001179,               0.001179
                     25,                 1.1376,                0.95565,                 1.1959,                0.00758,                 0.0625,                0.00498,                0.00249,                    nan,                    nan,                    nan,              0.0011959,              0.0011959,              0.0011959
                     26,                 1.2796,                0.91996,                 1.2178,                 0.0034,                  0.125,                0.00241,                0.00103,                    nan,                    nan,                    nan,               0.001175,               0.001175,               0.001175
                     27,                  1.102,                0.83081,                  1.222,                0.00098,                 0.0625,                0.00063,                0.00038,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     28,                 1.1172,                0.85241,                 1.2167,                0.00098,                 0.0625,                0.00063,                0.00038,                      0,                    nan,                      0,               0.001109,               0.001109,               0.001109
                     29,                0.95046,                0.80346,                 1.1104,                0.00066,                 0.0625,                0.00043,                  9e-05,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     30,                0.97616,                0.73965,                 1.1588,                0.00066,                 0.0625,                0.00043,                  9e-05,                    nan,                    nan,                    nan,               0.001043,               0.001043,               0.001043
                     31,                0.92418,                0.68472,                 1.0868,                0.00066,                 0.0625,                0.00043,                  9e-05,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     32,                0.98918,                0.71656,                 1.1034,                0.00152,                 0.0625,                0.00113,                0.00023,                    nan,                    nan,                    nan,               0.000977,               0.000977,               0.000977
                     33,                0.91311,                0.65508,                 1.1186,                0.00152,                 0.0625,                0.00113,                0.00023,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     34,                0.94634,                0.66653,                 1.0516,                0.00152,                 0.0625,                0.00113,                0.00023,                 3.2929,                 15.781,                 2.0749,               0.000911,               0.000911,               0.000911
                     35,                0.86117,                0.67764,                 1.0671,                0.34062,                 0.0625,                0.06691,                0.02676,                 3.5895,                  12.46,                  4.933,               0.000878,               0.000878,               0.000878
                     36,                 0.9281,                  0.704,                 1.1462,                0.70073,                  0.125,                0.13807,                0.07282,                 2.7285,                 6.8103,                 3.2592,               0.000845,               0.000845,               0.000845
                     37,                0.92501,                0.71513,                 1.0634,                0.50984,                  0.375,                0.36344,                0.16188,                 2.0526,                 5.1702,                 2.2012,               0.000812,               0.000812,               0.000812
                     38,                0.97113,                0.75534,                 1.0916,                0.86854,                    0.5,                0.57869,                0.27311,                 1.7827,                  4.174,                 2.0142,               0.000779,               0.000779,               0.000779
                     39,                0.84949,                0.65077,                 1.0781,                0.86753,                  0.875,                0.86539,                0.68372,                0.85946,                  3.895,                 1.1934,               0.000746,               0.000746,               0.000746
